"ATP","Date","Round","Winner","Loser","WRank","LRank","WPts","LPts","W1","L1","W2","L2","W3","L3","W4","L4","W5","L5","Wsets","Lsets","B365W","B365L","PSW","PSL","MaxW","MaxL","AvgW","AvgL"
32,"01/06/13","3rd Round","Wawrinka S.","Janowicz J.",10,23,2630,1524,6,3,6,7,6,3,6,3,NA,NA,3,1,1.33,3.25,1.37,3.45,1.39,3.58,1.34,3.25
32,"01/06/13","3rd Round","Djokovic N.","Dimitrov G.",1,28,12310,1355,6,2,6,2,6,3,NA,NA,NA,NA,3,0,1.07,9,1.09,9.6,1.14,9.6,1.09,7.47
32,"01/06/13","3rd Round","Kohlschreiber P.","Hanescu V.",19,54,1750,815,6,0,7,6,6,1,NA,NA,NA,NA,3,0,1.4,2.75,1.51,2.79,1.52,3.1,1.42,2.82
32,"02/06/13","4th Round","Ferrer D.","Anderson K.",5,25,6740,1420,6,3,6,1,6,1,NA,NA,NA,NA,3,0,1.11,6.5,1.16,6.48,1.17,7.1,1.13,5.87
32,"02/06/13","4th Round","Robredo T.","Almagro N.",34,13,1095,2375,6,7,3,6,6,4,6,4,6,4,3,2,5,1.16,5.01,1.22,5.3,1.23,4.61,1.2
32,"02/06/13","4th Round","Tsonga J.W.","Troicki V.",8,57,3795,800,6,3,6,3,6,3,NA,NA,NA,NA,3,0,1.08,8,1.08,10.75,1.13,11,1.09,7.69
32,"02/06/13","4th Round","Federer R.","Simon G.",3,18,8000,1895,6,1,4,6,2,6,6,2,6,3,3,2,1.04,13,1.05,13.8,1.07,16,1.05,10.68
32,"03/06/13","4th Round","Haas T.","Youzhny M.",14,31,2340,1265,6,1,6,1,6,3,NA,NA,NA,NA,3,0,1.8,2,1.82,2.12,1.95,2.12,1.84,1.94
32,"03/06/13","4th Round","Djokovic N.","Kohlschreiber P.",1,19,12310,1750,4,6,6,3,6,4,6,4,NA,NA,3,1,1.03,15,1.05,14.8,1.06,19,1.03,12.89
32,"03/06/13","4th Round","Wawrinka S.","Gasquet R.",10,9,2630,3090,6,7,4,6,6,4,7,5,8,6,3,2,1.72,2.1,1.83,2.11,1.83,2.38,1.71,2.11
