"",Date,Round,Winner,Loser,WRank,LRank,WPts,LPts,Wsets,Lsets,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL,SetsTotales,LabelWinnerRank,LabelWinnerPoints,LabelWinnerOddsB65,LabelWinnerOddsPS,LabelWinnerOddsMAX,LabelWinnerOddsAvg,WinnerRoundsWon,LoserRoundsWon,LabelWinnerRounds,LabelWinnerRoundsAndOddsAvg
47,24/05/2016,1st Round,Williams V.,Kontaveit A.,11,82.0,2886,800.0,2.0,0.0,1.2,4.33,1.18,4.0,1.2,4.5,1.24,4.61,2.13,1.7,1.24,4.9,1.21,4.46,2,1.0,1.0,1,1,1,1,2,3,0,0
48,24/05/2016,1st Round,Razzano V.,Soylu I.,184,171.0,297,312.0,2.0,1.0,1.4,2.75,1.45,2.5,1.44,2.75,1.53,2.69,1.38,2.96,1.57,2.85,1.47,2.63,3,0.0,0.0,1,1,1,1,1,0,1,1
49,24/05/2016,1st Round,Keys M.,Vekic D.,17,96.0,2482,706.0,2.0,0.0,1.08,8.0,1.08,6.0,1.08,8.0,1.1,8.67,1.25,3.89,1.1,9.15,1.08,7.76,2,1.0,1.0,1,1,1,1,6,3,1,1
50,24/05/2016,1st Round,Duque-Marino M.,Gavrilova D.,75,46.0,863,1180.0,2.0,1.0,2.75,1.4,2.8,1.38,2.75,1.4,2.95,1.46,1.81,1.97,4.0,1.53,2.84,1.42,3,0.0,0.0,0,0,0,0,3,2,1,1
51,24/05/2016,1st Round,Sevastova A.,Vickery S.,87,165.0,772,343.0,2.0,0.0,1.53,2.37,1.55,2.3,1.57,2.38,1.71,2.27,1.25,3.83,1.71,2.38,1.63,2.24,2,1.0,1.0,1,1,1,1,3,0,1,1
52,24/05/2016,1st Round,Knapp K.,Azarenka V.,118,5.0,565,4341.0,1.0,1.0,15.0,1.03,10.0,1.02,15.0,1.02,13.89,1.05,1.08,7.55,15.0,1.05,12.38,1.03,2,0.0,0.0,0,0,0,0,1,4,0,0
53,24/05/2016,1st Round,Nara K.,Allertova D.,91,70.0,743,947.0,1.0,1.0,2.25,1.57,2.3,1.55,2.25,1.62,2.29,1.7,3.86,1.25,2.5,1.7,2.25,1.63,2,0.0,0.0,0,0,0,0,3,0,1,1
54,24/05/2016,1st Round,Townsend T.,Hesse A.,172,157.0,311,363.0,2.0,0.0,1.33,3.25,1.38,2.8,1.4,3.0,1.38,3.33,2.36,1.58,1.4,3.33,1.36,3.11,2,0.0,0.0,1,1,1,1,3,0,1,1
55,24/05/2016,1st Round,Petkovic A.,Robson L.,31,329.0,1545,120.0,2.0,0.0,1.1,7.0,1.12,5.0,1.11,6.5,1.12,7.54,1.56,2.39,1.12,7.54,1.1,6.69,2,1.0,1.0,1,1,1,1,4,0,1,1
56,24/05/2016,1st Round,Puig M.,Govortsova O.,53,105.0,1100,629.0,2.0,0.0,1.25,3.75,1.28,3.3,1.29,3.75,1.3,3.9,2.82,1.42,1.3,3.9,1.27,3.67,2,1.0,1.0,1,1,1,1,3,0,1,1
